Age,PLT,FBG,ALT,AST,GGT,FINS,UAR,TyG.WHtR
43.05555555555556,194.91666666666669,8.564166666666667,15.354999999999999,15.913611111111111,19.188333333333333,7.8744444444444435,6.829166666666667,4.424722222222222
40.860465116279066,234.88372093023256,7.935348837209302,14.264883720930232,14.813953488372093,20.06720930232558,7.370930232558139,7.681627906976744,4.536511627906977
45.1,360.20000000000005,7.855,25.377,22.371000000000002,38.312,10.056000000000001,9.633,4.747999999999999
46.46666666666667,183.46666666666667,8.775333333333332,60.97866666666667,43.62466666666667,50.41466666666667,9.956000000000001,8.406,4.8486666666666665
49.44444444444444,295.3333333333333,10.386666666666667,53.019999999999996,39.397777777777776,35.282222222222224,9.585555555555555,7.411111111111111,5.07
39.0,241.57142857142858,9.757142857142856,70.46,85.10857142857142,63.44714285714285,10.39,8.797142857142857,5.54
64.55172413793103,287.2758620689655,7.90551724137931,17.682758620689654,20.02344827586207,26.171379310344825,8.009310344827586,7.646206896551724,4.327241379310345
62.21052631578947,134.73684210526318,8.544736842105262,24.229473684210525,25.611052631578946,38.44631578947369,8.843684210526316,8.922105263157894,4.786842105263158
56.1219512195122,238.90243902439025,8.355365853658537,25.05317073170732,24.00268292682927,39.18048780487805,8.954878048780488,7.548536585365854,4.831463414634147
60.16129032258064,170.54838709677415,8.739032258064515,18.954838709677418,19.18935483870968,25.65951612903226,9.646451612903226,7.42016129032258,4.65258064516129
44.41463414634146,265.0487804878049,7.756585365853659,13.734390243902439,16.44682926829268,21.016829268292682,7.425609756097561,7.382439024390244,4.319268292682927
50.333333333333336,270.8888888888889,12.448888888888888,23.06222222222222,24.13111111111111,92.59444444444443,10.198888888888888,7.575555555555556,5.248888888888889
66.65,240.175,8.90075,16.811,19.137,24.53225,8.8895,7.53125,4.62675
40.0,304.0,8.615,146.01500000000001,82.535,56.345,8.5,10.004999999999999,4.96
42.35714285714286,214.3095238095238,8.572857142857142,22.48547619047619,19.649761904761906,30.504285714285714,8.103333333333333,7.601904761904762,4.51047619047619
38.63636363636364,308.27272727272725,8.224545454545455,14.809999999999999,15.240909090909092,20.57272727272727,9.038636363636364,8.463181818181818,4.554545454545455
36.36842105263158,249.31578947368422,8.31421052631579,34.86421052631579,31.508421052631576,38.584736842105265,8.42578947368421,8.017894736842106,4.943684210526316
57.05882352941177,198.41176470588235,9.445882352941176,26.80764705882353,29.235882352941175,85.3835294117647,10.474705882352943,9.508235294117647,5.224705882352941
67.58928571428571,206.58928571428572,8.548214285714286,18.908035714285717,20.115535714285713,26.895714285714288,8.483035714285714,7.2675,4.611428571428571
49.578947368421055,276.0,8.056315789473684,28.72105263157895,23.277368421052632,53.258421052631576,7.98,7.446842105263158,4.707894736842105
